"Time","Drake"
"2010-01-01",27
"2010-02-01",27
"2010-03-01",33
"2010-04-01",35
"2010-05-01",43
"2010-06-01",59
"2010-07-01",46
"2010-08-01",45
"2010-09-01",44
"2010-10-01",41
"2010-11-01",42
"2010-12-01",40
"2011-01-01",39
"2011-02-01",35
"2011-03-01",29
"2011-04-01",28
"2011-05-01",31
"2011-06-01",43
"2011-07-01",37
"2011-08-01",46
"2011-09-01",42
"2011-10-01",56
"2011-11-01",100
"2011-12-01",76
"2012-01-01",64
"2012-02-01",53
"2012-03-01",46
"2012-04-01",45
"2012-05-01",43
"2012-06-01",59
"2012-07-01",39
"2012-08-01",33
"2012-09-01",30
"2012-10-01",28
"2012-11-01",28
"2012-12-01",28
"2013-01-01",25
"2013-02-01",37
"2013-03-01",34
"2013-04-01",36
"2013-05-01",36
"2013-06-01",34
"2013-07-01",35
"2013-08-01",47
"2013-09-01",76
"2013-10-01",57
"2013-11-01",49
"2013-12-01",49
"2014-01-01",45
"2014-02-01",36
"2014-03-01",35
"2014-04-01",42
"2014-05-01",37
"2014-06-01",42
"2014-07-01",38
"2014-08-01",39
"2014-09-01",29
"2014-10-01",37
"2014-11-01",33
"2014-12-01",37
"2015-01-01",30
"2015-02-01",54
"2015-03-01",36
"2015-04-01",40
"2015-05-01",31
"2015-06-01",32
"2015-07-01",77
"2015-08-01",63
"2015-09-01",64
"2015-10-01",63
"2015-11-01",42
"2015-12-01",38
"2016-01-01",42
"2016-02-01",46
"2016-03-01",34
"2016-04-01",81
"2016-05-01",82
"2016-06-01",56
"2016-07-01",54
"2016-08-01",59
"2016-09-01",44
"2016-10-01",48
"2016-11-01",39
"2016-12-01",42
"2017-01-01",35
"2017-02-01",31
"2017-03-01",46
"2017-04-01",36
"2017-05-01",31
"2017-06-01",33
"2017-07-01",26
"2017-08-01",21
"2017-09-01",20
"2017-10-01",21
"2017-11-01",23
"2017-12-01",23
"2018-01-01",26
"2018-02-01",31
"2018-03-01",28
"2018-04-01",31
"2018-05-01",53
"2018-06-01",57
"2018-07-01",64
"2018-08-01",40
"2018-09-01",39
"2018-10-01",34
"2018-11-01",25
"2018-12-01",29
"2019-01-01",25
"2019-02-01",24
"2019-03-01",20
"2019-04-01",18
"2019-05-01",24
"2019-06-01",27
"2019-07-01",19
"2019-08-01",23
"2019-09-01",18
"2019-10-01",19
"2019-11-01",21
"2019-12-01",21
"2020-01-01",20
"2020-02-01",17
"2020-03-01",20
"2020-04-01",21
"2020-05-01",22
"2020-06-01",17
"2020-07-01",19
"2020-08-01",20
"2020-09-01",17
"2020-10-01",20
"2020-11-01",20
"2020-12-01",18
"2021-01-01",18
"2021-02-01",18
"2021-03-01",22
"2021-04-01",18
"2021-05-01",18
"2021-06-01",23
"2021-07-01",24
"2021-08-01",21
"2021-09-01",37
"2021-10-01",19
"2021-11-01",20
"2021-12-01",20
"2022-01-01",22
"2022-02-01",20
"2022-03-01",18
"2022-04-01",19
"2022-05-01",17
"2022-06-01",22
"2022-07-01",19
"2022-08-01",21
"2022-09-01",19
"2022-10-01",18
"2022-11-01",29
"2022-12-01",22
"2023-01-01",20
"2023-02-01",22
"2023-03-01",30
"2023-04-01",26
"2023-05-01",18
"2023-06-01",19
"2023-07-01",31
"2023-08-01",31
"2023-09-01",29
"2023-10-01",35
"2023-11-01",29
"2023-12-01",24
"2024-01-01",25
"2024-02-01",68
"2024-03-01",54
"2024-04-01",42
"2024-05-01",77
"2024-06-01",26
"2024-07-01",21
"2024-08-01",22
"2024-09-01",23